RequestID,Tracking Number,CarrierName
48943,1Z9F72W00332606678,UPS
48944,1Z9F72W00332606687,UPS
48945,1Z9F72W00332606696,UPS
48947,1Z9F72W00332606703,UPS
48950,1Z9F72W00332606712,UPS
48954,1Z9F72W00332606721,UPS
48959,1Z9F72W00332606730,UPS
48962,1Z9F72W00332606749,UPS
48966,1Z9F72W00332606758,UPS
48971,1Z9F72W00332606767,UPS
48979,1Z9F72W00332606776,UPS
48983,1Z9F72W00332606785,UPS
48988,1Z9F72W00332606794,UPS
48989,1Z9F72W00332606801,UPS
48990,1Z9F72W00332606810,UPS
48991,1Z9F72W00332606829,UPS
48993,1Z9F72W00332606838,UPS
48994,1Z9F72W00332606847,UPS
