RequestID,Tracking Number,CarrierName
47137,1Z9F72W00132459420,UPS
47169,1Z9F72W00132459411,UPS
47224,1Z9F72W00332465633,UPS
47268,1Z9F72W00332465768,UPS
47269,1Z9F72W00332465679,UPS
47270,1Z9F72W00332465731,UPS
47277,1Z9F72W00332465624,UPS
47278,1Z9F72W00332465722,UPS
47279,1Z9F72W00332465811,UPS
47280,1Z9F72W00332465697,UPS
47284,1Z9F72W00332465615,UPS
47285,1Z9F72W00332465606,UPS
47286,1Z9F72W00332465688,UPS
47287,1Z9F72W00332465660,UPS
47289,1Z9F72W00332465651,UPS
47291,1Z9F72W00332465795,UPS
47292,1Z9F72W00332465786,UPS
47293,1Z9F72W00332465713,UPS
47294,1Z9F72W00332465704,UPS
47325,1Z9F72W00332465759,UPS
47336,1Z9F72W00332465777,UPS
47362,1Z9F72W00332465599,UPS
47370,1Z9F72W00332465820,UPS
47379,1Z9F72W00332465802,UPS
47387,1Z9F72W00332465740,UPS
47399,1Z9F72W00332465580,UPS
47435,1Z9F72W00332465571,UPS
47453,1Z9F72W00332465562,UPS
47461,1Z9F72W00332465544,UPS
47462,1Z9F72W00332465553,UPS
47465,1Z9F72W00332465535,UPS
47475,1Z9F72W00332465526,UPS
47481,1Z9F72W00332465517,UPS
47482,1Z9F72W00332465508,UPS
47483,1Z9F72W00332465491,UPS
47484,1Z9F72W00332465482,UPS
47485,1Z9F72W00332465473,UPS
47544,1Z9F72W00332465464,UPS
47578,1Z9F72W00332465455,UPS
47581,1Z9F72W00332465446,UPS
47582,1Z9F72W00332465437,UPS
47591,1Z9F72W00332465428,UPS
47607,1Z9F72W00332465419,UPS
47615,1Z9F72W00332465400,UPS
47668,1Z9F72W00332465393,UPS
47684,1Z9F72W00332465384,UPS
47748,1Z9F72W00332465375,UPS
47789,1Z9F72W00332465366,UPS
47791,1Z9F72W00332465357,UPS
47856,1Z9F72W00332465348,UPS
47859,1Z9F72W00332453164,UPS
47861,1Z9F72W00332453173,UPS
47862,1Z9F72W00332453182,UPS
47863,1Z9F72W00332453191,UPS
47864,1Z9F72W00332453208,UPS
47865,1Z9F72W00332453217,UPS
47867,1Z9F72W00332453226,UPS
47868,1Z9F72W00332453235,UPS
47870,1Z9F72W00332453244,UPS
47871,1Z9F72W00332453262,UPS
47872,1Z9F72W00332453271,UPS
47873,1Z9F72W00332453253,UPS
47874,1Z9F72W00332453280,UPS
47875,1Z9F72W00332453306,UPS
47876,1Z9F72W00332453299,UPS
47877,1Z9F72W00332453315,UPS
47878,1Z9F72W00332453566,UPS
47879,1Z9F72W00332453324,UPS
47880,1Z9F72W00332453584,UPS
47881,1Z9F72W00332453575,UPS
47882,1Z9F72W00332453351,UPS
47883,1Z9F72W00332453342,UPS
47884,1Z9F72W00332453333,UPS
47885,1Z9F72W00332453388,UPS
47887,1Z9F72W00332453360,UPS
47889,1Z9F72W00332453379,UPS
47891,1Z9F72W00332453404,UPS
47892,1Z9F72W00332453397,UPS
47893,1Z9F72W00332453422,UPS
47894,1Z9F72W00332453431,UPS
47895,1Z9F72W00332453413,UPS
47897,1Z9F72W00332453557,UPS
47898,1Z9F72W00332453459,UPS
47899,1Z9F72W00332465339,UPS
47900,1Z9F72W00332453440,UPS
47901,1Z9F72W00332453539,UPS
47903,1Z9F72W00332453468,UPS
47904,1Z9F72W00332465320,UPS
47905,1Z9F72W00332453477,UPS
47907,1Z9F72W00332453486,UPS
47908,1Z9F72W00332453548,UPS
47909,1Z9F72W00332453495,UPS
47910,1Z9F72W00332453502,UPS
47911,1Z9F72W00332465302,UPS
47912,1Z9F72W00332465311,UPS
47913,1Z9F72W00332453593,UPS
47914,1Z9F72W00332453600,UPS
47916,1Z9F72W00332453511,UPS
47917,1Z9F72W00332453619,UPS
47918,1Z9F72W00332453628,UPS
47919,1Z9F72W00332454672,UPS
47921,1Z9F72W00332453520,UPS
47922,1Z9F72W00332453637,UPS
47923,1Z9F72W00332453664,UPS
47924,1Z9F72W00332453655,UPS
47925,1Z9F72W00332453673,UPS
47926,1Z9F72W00332453646,UPS
47928,1Z9F72W00332453682,UPS
47929,1Z9F72W00332453717,UPS
47930,1Z9F72W00332453691,UPS
47931,1Z9F72W00332453726,UPS
47932,1Z9F72W00332453708,UPS
47933,1Z9F72W00332453735,UPS
47934,1Z9F72W00332453753,UPS
