RequestID,Tracking Number,CarrierName
50112,92748902711361553018011833,UPS Mail Innovations
50100,92748902711361553018011802,UPS Mail Innovations
50193,92748902711361553018011949,UPS Mail Innovations
50123,92748902711361553018011840,UPS Mail Innovations
50190,92748902711361553018011925,UPS Mail Innovations
50197,1Z9F72W00332782979,UPS
50199,92748902711361553018011987,UPS Mail Innovations
50111,92748902711361553018011826,UPS Mail Innovations
50126,92748902711361553018011871,UPS Mail Innovations
50198,92748902711361553018011970,UPS Mail Innovations
50127,92748902711361553018011864,UPS Mail Innovations
50095,92748902711361553018011796,UPS Mail Innovations
50140,92748902711361553018011888,UPS Mail Innovations
50094,92748902711361553018011789,UPS Mail Innovations
50097,1Z9F72W00332782960,UPS
50168,92748902711361553018011901,UPS Mail Innovations
50194,92748902711361553018011956,UPS Mail Innovations
50192,92748902711361553018011932,UPS Mail Innovations
50103,92748902711361553018011819,UPS Mail Innovations
50195,92748902711361553018011963,UPS Mail Innovations
50109,92748902711361553018011857,UPS Mail Innovations
50144,92748902711361553018011895,UPS Mail Innovations
50153,92748902711361553018011918,UPS Mail Innovations
